,分差,语文人数,数学人数,英语人数,理综人数
1,1,84,25,36,17
2,2,76,32,39,20
3,3,72,34,49,15
4,4,51,25,36,20
5,5,56,23,33,14
6,6,45,32,28,14
7,7,44,22,17,12
8,8,36,15,15,12
9,9,23,15,16,8
10,10,16,15,12,13
11,11,14,13,15,6
12,12,7,22,9,5
13,13,7,11,13,7
14,14,3,10,4,3
15,15,3,15,3,6
16,16,3,3,4,4
17,17,0,7,2,1
18,18,0,3,6,3
19,19,2,5,6,1
20,20,0,3,0,2
21,21,0,6,1,2
22,22,0,7,1,1
23,23,1,3,1,1
24,24,0,6,0,1
25,25,0,3,1,1
26,26,0,3,1,0
27,27,0,0,1,0
28,28,1,0,1,0
29,29,0,1,0,0
30,32,0,1,0,1
31,33,0,2,0,0
32,34,0,2,0,0
33,35,0,6,0,0
34,36,0,2,0,0
35,37,0,1,0,0
36,39,0,2,0,0
37,47,0,1,0,0
38,48,0,2,0,0
